2	NA	532628
3	NA	523395
4	NA	524348
5	NA	524208
6	NA	514274
7	NA	523204
8	NA	500002
9	NA	532682
10	NA	521064
11	NA	532831
12	NA	500410
13	NA	532774
14	NA	532762
15	NA	512599
16	NA	532727
17	NA	500303
18	NA	532399
19	NA	517041
20	NA	523269
21	NA	532840
22	NA	500003
23	NA	530707
24	NA	519281
25	NA	500215
26	NA	513335
27	NA	532683
28	NA	532331
29	NA	532799
30	NA	532351
31	NA	526707
32	NA	506235
33	NA	505885
34	NA	\N
35	NA	532480
36	NA	532749
37	NA	532875
38	NA	532633
39	NA	521070
40	NA	532878
41	NA	526397
42	NA	530715
43	NA	532309
44	NA	532664
45	NA	500008
46	NA	532335
47	NA	531978
48	NA	500425
49	NA	532828
50	NA	521076
51	NA	520077
52	NA	532282
53	NA	515055
54	NA	532418
55	NA	590062
56	NA	530721
57	NA	531683
58	NA	507828
59	NA	500013
60	NA	526715
61	NA	502330
62	NA	532259
63	NA	523694
64	NA	508869
65	NA	532974
66	NA	500877
67	NA	532475
68	NA	532212
69	NA	532935
70	NA	531381
71	NA	513729
72	NA	532848
73	NA	500101
74	NA	531823
75	NA	515030
76	NA	527001
77	NA	517565
78	NA	514286
79	NA	500477
80	NA	503940
81	NA	532888
82	NA	500023
83	NA	500820
84	NA	500024
85	NA	532493
86	NA	532830
87	NA	506820
88	NA	532759
89	NA	505029
90	NA	511427
91	NA	500027
92	NA	524804
93	NA	532797
94	NA	505010
95	NA	520119
96	NA	500463
97	NA	500674
98	NA	532215
99	NA	532395
100	NA	532385
101	NA	532719
102	NA	532507
103	NA	500034
104	NA	532977
105	NA	500031
106	NA	532978
107	NA	507500
108	NA	500490
109	NA	524824
110	NA	530999
111	NA	532382
112	NA	502355
113	NA	500102
114	NA	523319
115	NA	500038
116	NA	500039
117	NA	532946
118	NA	532134
119	NA	532149
120	NA	532525
121	NA	532674
122	NA	500041
123	NA	503722
124	NA	532916
125	NA	532694
126	NA	500042
127	NA	500043
128	NA	522004
129	NA	515035
130	NA	500048
